"",gene_symbol,GSM2691349,GSM2691350,GSM2691351,GSM2691352,GSM2691353,GSM2691354,GSM2691355,GSM2691356,GSM2691357,GSM2691358,GSM2691359,GSM2691360
ENSG00000161016,RPL8,13226.9808,15030.9722,13404.9713,14806.974,12502.9774,15710.9716,15883.9725,20046.9722,15647.9719,18522.9757,14693.9642,17726.9751
ENSG00000161021,MAML1,1079.1524,773.2803,775.1311,815.4216,746.3315,636.0011,962.9076,706.4686,536.2002,271.1917,434.8273,477.6168
ENSG00000161031,PGLYRP2,2,0,0,0,0,0,0,0,2,43,0,1
ENSG00000161036,LRWD1,130.0025,256.3717,314.0109,319.0148,232.0653,158,234.7585,188.9865,233.3796,271.0329,249.0001,182.8747
ENSG00000161040,FBXL13,41,21,17,23,63.0001,59,20,36,50,8,27,39
ENSG00000161048,NAPEPLD,232.9999,156,155.0002,203.0002,209,167.576,121.0001,155.5,138.7616,54.5,112.5002,119.0001
ENSG00000161055,SCGB3A1,1,2,0,0,0,0,0,0,0,1,0,0
ENSG00000161057,PSMC2,758.9995,1748.0004,1425.001,1606.0004,1201.0005,1156.0001,923.9992,1036.0002,1440.0002,889.9986,944.9992,1045.001
ENSG00000161082,CELF5,2,5.0001,4,1.0174,2.0568,5.0274,10.0268,2,6.0293,53.903,10.0231,6.0626
ENSG00000161091,MFSD12,504.0003,1285.9996,1536.332,1187.0005,1169.8298,679.5439,766.9326,626.0008,953.3359,950.9997,794.7995,614.1527
ENSG00000161103,LOC102725072,1.0638,1,1,0,2.3902,4.8884,21.7775,8.7598,12.6052,7.1768,20.6115,23.4947
ENSG00000161133,USP41,0.1043,2.166,0,0.4044,7.7572,6.9549,0,0,0.6046,1.5453,0,1
ENSG00000161149,TUBA3FP,6.0009,9,3.5459,7.018,9.6695,5,5.0065,5,3.0328,21.112,2.1449,5.5299
ENSG00000161179,YDJC,204.0004,287.9998,336.0006,315.0005,279.0006,210.0004,409.0003,417.0006,353.0005,452.0006,364.0007,384.0008
ENSG00000161180,CCDC116,2,7,6,4,14,2,6,9,15,13,4,6
ENSG00000161202,DVL3,2912.998,2506.9999,3432.937,2572.8032,2587.6338,2450.8771,3131.8842,2668.9919,2499.0457,2394.5092,2450.5485,2289.9186
ENSG00000161203,AP2M1,4009.9986,6281.9995,6238.0068,5874.0154,4805.001,6673.9954,4108.0001,3830.0047,4284.0014,2277.0009,4793.0067,4299.0097
ENSG00000161204,ABCF3,713.9995,866.0007,1011.0002,819.9995,1073.0025,987.0013,1089.0005,984.9994,1106.0007,800.0007,900.0011,842.0011
ENSG00000161217,PCYT1A,1071.3438,2124.7481,1649.6709,2005.6804,1374.425,1304.0001,1038.822,1137.993,1376.583,844.2994,1180.0008,1204.9676
ENSG00000161243,FBXO27,16.7399,44.4112,32.4832,21.5577,15.5582,16.924,8.0576,14.0651,13.0929,13.5005,10.0171,15.7262
ENSG00000161249,DMKN,134.9999,888.9984,843.9989,429.9992,700.0509,274.6023,290.9996,385.9993,1108.9985,741.9996,372.9996,572.9992
ENSG00000161265,U2AF1L4,208.0198,75.0192,178.7877,103,285.7851,205.9258,458.1267,358.5279,358.8228,401.0137,348.8047,314.4304
ENSG00000161267,BDH1,17.3721,85.1977,71.9335,98.5289,12.6068,7.0826,20.0195,22.1216,25.248,294.1736,14.7298,15.0315
