"ENSEMBL","GSM2691349","GSM2691350","GSM2691351","GSM2691352","GSM2691353","GSM2691354","GSM2691355","GSM2691356","GSM2691357","GSM2691358","GSM2691359","GSM2691360"
"ENSG00000230797",1.34358871122784,1.93885034569529,1.79447329043635,1.69267924954772,1.95281054461854,1.69757658367027,1.36068544691233,2.09798983354273,2.25457087716676,1.46911540992161,2.00562985849265,2.21510268036537
"ENSG00000230844",1.42846402425775,1.36426114483693,1.27399167815911,1.3252040082408,1.65095223538499,1.32946593553268,1.57832242273632,1.76814538300345,1.61913199090809,1.61507459438366,2.02555507272509,1.95246684796388
"ENSG00000230907",2.24550303574828,2.01575657995725,2.17615638677298,2.14624047770186,2.32762746359348,1.91277012841838,1.93452742608259,2.11630154941712,2.43547699669535,1.43806402388712,1.85787095230515,1.77768863877884
"ENSG00000230930",0.0721203556011888,0.608634045429044,0.838300744843879,0.830905641818144,0.273599842888937,0.273459712342044,1.06877407940773,0,0,0.868141306539663,1.22668382867242,0.684541406900339
"ENSG00000230937",2.08045921081154,1.39337552720147,0.920675987173833,0.788169114809327,0.701736251009707,0.449144162762096,1.06877407940773,0.523545178900083,0.887533772003577,0.498409044897722,0.64011354574165,0.58187438074597
"ENSG00000230985",0.2063704336225,0.997941361521008,3.65638503334853,0.142531356925451,2.26632817285328,0.555405467980339,4.8404798437364,0.149741684672393,0,3.72919870010417,4.83731353713073,0.0775153533544099
"ENSG00000230989",5.47472785749411,6.41865661189981,6.41464128646847,6.32700478192559,6.08701987741108,6.26716203119661,5.68334187198436,5.94080991076803,6.23093934447882,6.37504671060713,6.01487983564775,6.1674332321957
"ENSG00000230995",2.98553354686476,3.02458236544241,3.2333858122516,3.04768064957104,3.05462484250951,2.8073980639798,3.27450962746653,3.21062217271374,3.9935218840716,2.93761345054957,3.42183748478457,3.52203626659312
"ENSG00000231002",0.2063704336225,4.03360573421746,0,1.44008239362966,0.0734159278483975,0.273459712342044,5.19152147769004,0,0,0,4.88717102174856,0
"ENSG00000231028",0.597036303454642,0.210942949600328,0.211122619619928,0.142531356925451,0.654670110211998,0.555405467980339,0.073503634308669,0.523545178900083,0.757564247365244,0.721116833413897,0.64011354574165,0.527664379236949
"ENSG00000231044",2.56584528124183,2.83599143550086,2.69221994652496,2.4085404357427,2.82944266440927,3.02645934155885,2.67439570568731,2.78785541584346,2.58347432583376,2.9813469798086,2.57778436474557,2.64245261486079
"ENSG00000231064",2.14875862781397,1.97781586050307,2.37916697767594,1.46742751092375,3.6541523995777,3.13326500380339,4.90230454453286,4.15286654936793,4.31562003012678,3.78579127376474,3.80858349154195,4.08812151140521
"ENSG00000231094",0,0,0.657937080708351,0,0.606016562069009,0,1.55284675245994,0.679459394010411,0,0,1.56295371587107,1.63113640683742
"ENSG00000231105",1.15720837677899,0.394940896460766,0.275147892572116,0.208842255294676,1.20484632171183,0.701423788362028,0.60662277440695,0.948340673323152,0.757564247365244,0.868141306539663,0.6909060242236,0.733259056180363
"ENSG00000231115",3.66532661068167,2.94815782058994,2.68044632625187,2.75769154465804,2.76442354461298,2.63635161758153,2.74358539812763,3.90156972122778,3.31878539105139,3.58781864111569,0.078398307356918,2.9818340144095
"ENSG00000231116",0.73672424917367,3.96253532426337,3.55041124915796,0.788169114809327,2.06505876698018,0.449144162762096,0.27390519255733,2.44082419473491,0.563774263489477,1.58704025433153,0.476035572959966,2.59051236715274
"ENSG00000231129",0.547297263137361,3.67308735287046,2.72697505998382,3.52203843330116,0.273599842888937,0.605738317811645,0.334963243969018,2.53911316956862,0.213349825242954,0.160792937556059,0.416916560890717,0.471337611973422
"ENSG00000231135",0.547297263137361,0.750400066617635,0.838300744843879,0.69869972358033,0.834368423351553,0.654374189489926,0.995022808830403,0.727898612565837,1.11687372890665,1.69605012420553,0.877883775264309,0.995365337674315
"ENSG00000231160",2.7747784330269,1.10741510521357,1.27399167815911,0.952006944102932,2.38642799276023,1.38816072826111,3.13554950126662,2.7992344152638,2.11999285581033,1.77272119348748,2.40601384825373,2.81079494296115
"ENSG00000231177",0.495781975035613,0.505740409439284,0.657937080708351,0.603312850353625,0.701736251009707,0.50325292519686,0.917297258382669,0.577410645453675,1.34519466716985,1.19969767152483,0.877883775264309,0.471337611973422
"ENSG00000231187",0.442358861459901,0.210942949600328,0.336452121419078,0.142531356925451,1.06784986971345,0.701423788362028,1.23817261638411,0.727898612565837,0.80220110879602,0.958442668340943,0.833361752004048,0.684541406900339
"ENSG00000231213",5.63807664325,2.3337311630395,1.97880109449037,3.5350205482933,3.64815752813969,2.32697775842721,3.98113500202326,3.40934099884965,3.46476676582286,2.58755922551464,3.92454421983424,3.94033476141479
"ENSG00000231225",2.14875862781397,3.14073625832033,2.91956732517416,3.26584764786342,2.61261161024918,2.8705153890185,2.45815589345776,1.45939653890484,2.97328300759734,2.46967857472779,1.00375567899258,1.52445100384306
"ENSG00000231247",4.19178562304686,0.558104335428078,0.558528031217983,5.59392797795056,3.03638056010157,4.29474841985523,0.74802982761409,0.820155058619283,4.41237577097133,1.98095199294063,0.963006524950029,0.351623713226974
"ENSG00000231257",0.442358861459901,1.07183893388972,1.65705040096483,1.29499594971447,0.994142774687053,0.746987328012527,0.74802982761409,1.90082644419793,0.80220110879602,2.02341016000352,0.6909060242236,1.80072940897911
"ENSG00000231268",0.386881160356215,0.394940896460766,3.05339031366087,0.391240530761605,0.701736251009707,0.209799196525036,0.504012615302448,0.577410645453675,0.614716263440118,0.913998391508788,0.223466470493729,0.471337611973422
"ENSG00000231304",0.329184495097343,0.274918727580324,0.705185606784022,0.272238756346569,0.503491911649614,0.605738317811645,0.74802982761409,0.523545178900083,0.845498256511136,0.372677438709318,0.532827060572,0.634120967494624
"ENSG00000231305",0.691647853179381,0.336177578210553,0.705185606784022,0.553145174643769,1.13797361081964,0.654374189489926,1.41824919049945,0.820155058619283,1.51571187011006,1.08410729516338,0.833361752004048,0.780385180582493
"ENSG00000231312",2.5020034097659,2.0527250299311,2.05372722012527,2.51720764264324,2.83999990077152,3.21660100439057,2.98176411644942,2.6183393539348,2.28634143680177,3.07515398182573,2.12125114277069,2.08975298167406
"ENSG00000231321",1.31414983494809,0.920053295422135,1.3650687474681,0.830905641818144,2.47036569108352,1.55114788690371,2.62635418445,1.45939653890484,1.59396365740423,1.04342327794136,2.66928474512396,1.21709444729963
"ENSG00000231365",2.52788014819462,2.60660893273401,2.92954886411673,2.24435367568524,2.44292552204526,2.48322620677355,2.18722796816813,2.33534615191914,1.99096870833898,2.23691927996441,2.13965155440037,2.23215274479879
"ENSG00000231370",5.57276511864579,0.210942949600328,6.85324020350447,6.20944700882205,5.59700124032658,5.99946137044603,5.98304931883483,2.30373678736441,5.38361436175082,4.51542914685901,5.55509306852054,1.25094919984967
"ENSG00000231377",2.4488144707264,3.02458236544241,2.83712691164364,2.93466255920707,2.94152908802382,2.62419393464799,2.70940529260923,2.7414201039501,2.91350388764264,3.04455773188803,2.59121654505663,2.57722977119659
"ENSG00000231389",0.2063704336225,0.87947343489863,0.451758918178153,0.912758579322055,0.916466288697495,0.0733756821790587,0.504012615302448,0,0,0,0.877883775264309,0
"ENSG00000231488",3.64182063893839,1.17603903545337,3.50440658862154,3.3342849660123,3.555110287206,3.09853431926849,2.56396130649648,2.60543345040703,3.30334075527036,3.21909852607348,2.59121654505663,2.40749859398377
"ENSG00000231500",7.35717779055461,7.29631873092869,7.31343965602683,7.29861515402411,7.01130407805136,7.22644124511756,7.65952210367233,8.09133913841715,7.24776791937999,7.86473644327052,7.53884262240305,7.98573417361905
"ENSG00000231502",2.24550303574828,2.30337487907281,1.85856856806839,2.3062413316331,2.13531505043372,1.99059797076494,1.89452321438024,2.22154381500595,1.99096870833898,2.00233726253769,1.7422208114853,2.1448130061557
"ENSG00000231555",0,5.62455261205385,5.91045096899953,0,2.70790883643379,0,1.06877407940773,5.11401411323612,2.33272276335294,5.12257746518152,0,5.40032581561216
"ENSG00000231574",1.48239460579504,0,0.144123485590281,0,2.61261161024918,3.55436795618971,2.47181377018165,2.11630154941712,1.91170516692155,1.98095199294063,1.26070589757442,0.913176217216201
"ENSG00000231584",1.34358871122784,0.997941361521008,1.63281788772925,0.912758579322055,1.38866217139899,1.74325988267019,0.835144580548863,2.70558571222443,0.968099796517171,1.55845033940386,1.29394409774139,2.8220999521217
"ENSG00000231607",1.31414983494809,1.8576124520876,0.920675987173833,2.12921941059521,0.876001258900228,0.449144162762096,0.74802982761409,0.774764153753789,0.887533772003577,1.08410729516338,0.64011354574165,1.21709444729963
"ENSG00000231608",4.76794236824322,1.07183893388972,2.33478966062757,4.38083206684683,0,2.06444133143627,3.67951459158788,1.45939653890484,5.00353583799411,4.85805963587667,6.40639409418753,4.01118934468115
"ENSG00000231609",0.691647853179381,0.394940896460766,0.395257194241378,0.0730251399719506,0.393120175744971,0.334429452756105,1.20584687379445,0.774764153753789,0.845498256511136,0.913998391508788,0.290873450129038,0.22106975067517
