"SYMBOL","logFC","AveExpr","t","P.value","adj.P.value","B","contrast","ensembleID"
"AEBP1",-0.936365049033905,1.05754755403876,-1.67428685636185,0.120168523627216,0.255329438735056,-5.1339509759684,"HAEC-control","ENSG00000106624"
"POLD2",-0.265880233956153,5.4604857973467,-0.84419633712065,0.415231803563277,0.574022300844077,-6.75778608959141,"HAEC-control","ENSG00000106628"
"BCL7B",-0.442730225003679,4.49979751782485,-2.48706669687049,0.0287580186094979,0.0995293276476525,-4.38729430239141,"HAEC-control","ENSG00000106635"
"YKT6",-0.361444276220844,6.31781993987617,-1.50912824251525,0.15738718951492,0.305996827724391,-5.98282197005936,"HAEC-control","ENSG00000106636"
"TBL2",0.281561192405814,5.32072309815033,1.32742508096921,0.209306204552159,0.369953737789234,-6.24288488599609,"HAEC-control","ENSG00000106638"
"CLIP2",0.0218427570710005,3.47039737767479,0.0400114516067006,0.96874836746236,0.981534838112221,-6.85831572765195,"HAEC-control","ENSG00000106665"
"EIF4H",-0.232009275293617,8.02628876015531,-1.19838398441942,0.254121897450389,0.418160668212187,-6.21758834539624,"HAEC-control","ENSG00000106682"
"LIMK1",-0.239327301135922,5.62251762288644,-1.23377756790799,0.24113160025692,0.403817850467742,-6.36136183385704,"HAEC-control","ENSG00000106683"
"SPATA6L",0.0135185826585424,-0.0574834365657905,0.0305173536327458,0.976161012540171,0.986165313395503,-6.14619540253938,"HAEC-control","ENSG00000106686"
"SLC1A1",-0.199403386430965,2.35132575695749,-0.579321234148289,0.573191092114993,0.712179704966386,-6.47011216769443,"HAEC-control","ENSG00000106688"
"FKTN",-0.42350799917039,4.45775012851606,-1.5827612229686,0.139712347809825,0.282122264600299,-5.85265515878832,"HAEC-control","ENSG00000106692"
"FSD1L",-0.51607728032792,0.955768680799277,-0.829363392745284,0.423246235954163,0.580943019014685,-5.97370797209703,"HAEC-control","ENSG00000106701"
"CNTNAP3",-0.182736999067156,3.54205215425367,-0.328187436625415,0.74848045260827,0.842928656014079,-6.82422482334565,"HAEC-control","ENSG00000106714"
"SPIN1",-0.310808178967426,6.79474878194027,-1.3282266852845,0.209049313724933,0.369685674763481,-6.17267879694526,"HAEC-control","ENSG00000106723"
"NMRK1",0.848916685053965,4.6333532340513,2.97217108879465,0.0117649562740394,0.0576338615587411,-3.50499937971905,"HAEC-control","ENSG00000106733"
"TMEM245",-0.198128353204631,7.0082716064307,-0.71392820365624,0.489057565554738,0.643012491059693,-6.76077660093378,"HAEC-control","ENSG00000106771"
"PRUNE2",-2.22590371377579,3.39119107133996,-2.26870042013121,0.0427392659644097,0.128962154521597,-4.55470759413232,"HAEC-control","ENSG00000106772"
"MEGF9",-1.57653334686665,4.33860278175014,-3.39002758981459,0.00543796055076082,0.0369397294082414,-2.71782962291675,"HAEC-control","ENSG00000106780"
"TRIM14",-0.684109484990311,2.94503364012728,-0.719880980649355,0.485516925080501,0.639490342619343,-6.6265732609755,"HAEC-control","ENSG00000106785"
"CORO2A",-1.6591967788812,1.96280488545902,-2.055187184635,0.0625250758428774,0.165308492850281,-4.61286354060077,"HAEC-control","ENSG00000106789"
"TGFBR1",-0.243009662427006,6.69009203426137,-0.679823668115966,0.509643123722412,0.659548895191344,-6.82933990719721,"HAEC-control","ENSG00000106799"
"SEC61B",-0.170082885586494,5.77693649254,-0.893547861619915,0.389302034814019,0.550548471595141,-6.71692828287863,"HAEC-control","ENSG00000106803"
"C5",-1.43311883073355,1.57559372280295,-1.86840462915886,0.0865481494775808,0.204624459612978,-4.82377616807684,"HAEC-control","ENSG00000106804"
"ECM2",1.29878452021909,-1.4588664572815,0.956155455503897,0.358041896618628,0.522384597663099,-5.45332375120399,"HAEC-control","ENSG00000106823"
"TLE4",-0.25191987056101,5.25661343985558,-0.853631548862727,0.41018688947925,0.569307759492934,-6.74727822092672,"HAEC-control","ENSG00000106829"
"PTGR1",0.121956928325228,4.58087321957015,0.299804712113849,0.769505604271398,0.857556020264692,-7.0256412487434,"HAEC-control","ENSG00000106853"
"SUSD1",-0.796815400367838,3.59259746677185,-1.74942113611227,0.105972061968131,0.234768643964939,-5.44392005254099,"HAEC-control","ENSG00000106868"
"AKNA",-0.0159876960984349,4.69474455324931,-0.0574230961540647,0.955162443177086,0.973720813295076,-7.08202434325687,"HAEC-control","ENSG00000106948"
"TNFSF8",-3.66258535453843,-2.29343726659705,-5.28305535534731,0.000200073889844664,0.00706109468535927,0.788539786091516,"HAEC-control","ENSG00000106952"
"DNM1",1.27097428312932,2.94219356626454,2.49988935243071,0.028091930322605,0.0982329921280043,-4.00393958695841,"HAEC-control","ENSG00000106976"
"ENG",-1.98634826831379,4.15287612509827,-3.60227197084312,0.00368544629580371,0.0300223360760758,-2.30502407211733,"HAEC-control","ENSG00000106991"
"AK1",-1.02663322012874,3.59851931561414,-1.85683122347503,0.0882846360745466,0.206971488483475,-5.24694594484265,"HAEC-control","ENSG00000106992"
"CDC37L1",0.126427603177881,4.51115922268928,0.547536291758957,0.594145223074148,0.728457588540363,-6.90438404448926,"HAEC-control","ENSG00000106993"
